layer,head,component,succ_mean,fail_mean,delta,n_succ,n_fail
1,4,injected_reasoning,0.0,0.0011728883932537982,-0.0011728883932537982,7,33
1,5,benign_puzzle_scaffold,0.7654662154462903,0.618538290809027,0.14692792463726334,7,33
1,5,final_answer_cue,0.2188968868354592,0.36597902492068085,-0.14708213808522166,7,33
1,5,harmful_instruction,0.0,0.0004501033120000927,-0.0004501033120000927,7,33
1,5,injected_reasoning,0.0,0.0017148830969166689,-0.0017148830969166689,7,33
1,6,benign_puzzle_scaffold,0.6924685105546438,0.5509106143373356,0.1415578962173082,7,33
1,6,final_answer_cue,0.25189684550018004,0.3851149164903713,-0.13321807099019123,7,33
1,6,harmful_instruction,0.0,0.0006179628982856467,-0.0006179628982856467,7,33
1,6,injected_reasoning,0.0,0.0006831718034623808,-0.0006831718034623808,7,33
1,7,benign_puzzle_scaffold,0.686573644274862,0.5769351106849486,0.10963853358991338,7,33
1,7,final_answer_cue,0.1911254536737658,0.29627527795048336,-0.10514982427671757,7,33
1,7,harmful_instruction,0.0,0.00014813449190159903,-0.00014813449190159903,7,33
1,7,injected_reasoning,0.0,0.0003503106982707569,-0.0003503106982707569,7,33
1,8,benign_puzzle_scaffold,0.7262441775077818,0.6078963646581654,0.11834781284961637,7,33
1,8,final_answer_cue,0.19998926493105346,0.31308844139457004,-0.11309917646351658,7,33
1,8,harmful_instruction,0.0,0.00033947131122810084,-0.00033947131122810084,7,33
1,8,injected_reasoning,0.0,0.0006603571098830185,-0.0006603571098830185,7,33
1,9,benign_puzzle_scaffold,0.5456003677544613,0.38990819755970657,0.15569217019475473,7,33
1,9,final_answer_cue,0.4076012715111127,0.5663155706853304,-0.15871429917421775,7,33
1,9,harmful_instruction,0.0,0.0008533189637902296,-0.0008533189637902296,7,33
1,9,injected_reasoning,0.0,0.0005797914987642337,-0.0005797914987642337,7,33
1,10,benign_puzzle_scaffold,0.535016142575181,0.3627219773399489,0.17229416523523217,7,33
1,10,final_answer_cue,0.41688193762401193,0.587981349470522,-0.17109941184651012,7,33
1,10,harmful_instruction,0.0,0.0007991653111193353,-0.0007991653111193353,7,33
1,10,injected_reasoning,0.0,0.0004966084261186692,-0.0004966084261186692,7,33
1,11,benign_puzzle_scaffold,0.425776799606066,0.2027256822090879,0.2230511173969781,7,33
1,11,final_answer_cue,0.5475210035968148,0.7731389051300044,-0.2256179015331896,7,33
1,11,harmful_instruction,0.0,0.0012617380748505193,-0.0012617380748505193,7,33
1,11,injected_reasoning,0.0,0.00021992930031546716,-0.00021992930031546716,7,33
1,12,benign_puzzle_scaffold,0.6509640528829321,0.5448731990404936,0.10609085384243855,7,33
1,12,final_answer_cue,0.2290434237433546,0.338110709531059,-0.10906728578770439,7,33
1,12,harmful_instruction,0.0,0.00040872804812414656,-0.00040872804812414656,7,33
1,12,injected_reasoning,0.0,0.0004977334310393663,-0.0004977334310393663,7,33
1,13,benign_puzzle_scaffold,0.681620415537858,0.5777628394345676,0.10385757610329038,7,33
1,13,final_answer_cue,0.2109724875717218,0.3150804279653902,-0.10410794039366841,7,33
1,13,harmful_instruction,0.0,0.000366076727688708,-0.000366076727688708,7,33
1,13,injected_reasoning,0.0,0.0007547641807188248,-0.0007547641807188248,7,33
1,14,benign_puzzle_scaffold,0.6923129339885287,0.5934978077093763,0.09881512627915234,7,33
1,14,final_answer_cue,0.19896451575261737,0.3001799822185277,-0.10121546646591034,7,33
1,14,harmful_instruction,0.0,0.00032197530292171506,-0.00032197530292171506,7,33
