step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
207,0,F,False,0.1,0.3927,0.214,0.2224,0.1708,-0.1189,0.207,,stage4_8,cost_mechanistic
208,0,A,True,1.1,0.4014,0.2109,0.2191,0.1686,0.893,0.2963,,stage4_8,cost_mechanistic
209,0,A,False,0.1,0.3995,0.2116,0.2198,0.1691,-0.1963,0.2767,,stage4_8,cost_mechanistic
210,2,F,False,0.1,0.2582,0.3002,0.2102,0.2315,-0.5799,0.6219,7.929,stage4_7,cost_mechanistic
211,2,E,True,1.05,0.2569,0.2984,0.2093,0.2354,0.4281,0.6647,,stage4_7,cost_mechanistic
212,0,F,True,1.1,0.3939,0.2102,0.2275,0.1683,0.8233,0.359,7.755,stage4_7,cost_mechanistic
213,1,F,False,0.0896,0.2797,0.2246,0.2082,0.2875,-0.1053,0.1843,8.025,stage4_7,cost_mechanistic
214,2,D,True,1.1,0.2552,0.3027,0.2081,0.234,0.4353,0.7082,,stage4_8,cost_mechanistic
215,2,F,False,0.0254,0.257,0.3053,0.2023,0.2355,-0.6829,0.6399,6.928,stage4_7,cost_mechanistic
216,3,D,False,0.1,0.3325,0.2332,0.2411,0.1932,-0.8819,0.8937,6.343,stage4_7,cost_mechanistic
217,1,A,False,0.1,0.2789,0.2248,0.2084,0.2879,-0.0843,0.1759,,stage4_8,cost_mechanistic
218,0,A,False,0.1,0.3914,0.2111,0.2285,0.1689,-0.259,0.3331,,stage4_8,cost_mechanistic
219,0,A,True,1.1,0.3989,0.2085,0.2255,0.1671,0.7669,0.4098,,stage4_8,cost_mechanistic
220,0,D,False,0.1,0.4009,0.2057,0.2261,0.1673,-0.3098,0.3788,,stage4_8,cost_mechanistic
221,0,F,False,0.1,0.4028,0.2061,0.2235,0.1676,-0.2788,0.3509,,stage4_8,cost_mechanistic
222,1,A,True,1.1,0.2879,0.2222,0.2061,0.2837,0.9241,0.2683,8.848,stage4_7,cost_mechanistic
223,2,E,True,1.05,0.2557,0.3035,0.2015,0.2393,0.4101,0.681,,stage4_7,cost_mechanistic
224,1,E,False,0.05,0.2889,0.2228,0.2067,0.2816,-0.2183,0.2465,,stage4_7,cost_mechanistic
225,3,F,True,1.0997,0.3315,0.2327,0.243,0.1928,0.206,0.9143,,stage4_8,cost_mechanistic
226,2,D,True,1.1,0.2541,0.3077,0.2004,0.2378,0.419,0.7229,,stage4_8,cost_mechanistic
227,2,E,False,0.05,0.2561,0.3106,0.2016,0.2316,-0.6729,0.6556,,stage4_7,cost_mechanistic
228,2,F,False,0.0918,0.2575,0.3129,0.1968,0.2328,-0.5638,0.5992,,stage4_8,cost_mechanistic
229,1,D,False,0.1,0.2895,0.2215,0.2069,0.2821,-0.1465,0.2318,,stage4_8,cost_mechanistic
230,0,A,True,1.1,0.41,0.2036,0.2206,0.1658,0.7491,0.4258,,stage4_8,cost_mechanistic
231,3,A,True,1.1,0.3333,0.232,0.2423,0.1924,0.1857,0.9329,4.599,stage4_7,cost_mechanistic
